Version:          1.12.1.0
Settings:         {"AddStrayFairies":true,"AddSkulltulaTokens":true,"UpdateShopAppearance":true,"SpeedupLabFish":true,"UserLogicFileName":"","UseCustomItemList":false,"CloseCows":false,"ArrowCycling":true,"CritWiggleDisable":false,"DrawHash":true,"FastPush":true,"UpdateWorldModels":true,"OcarinaUnderwater":true,"QuestItemStorage":true,"LogicMode":"Casual","EnabledTricks":[],"AddSongs":true,"AddDungeonItems":false,"AddShopItems":false,"AddMoonItems":true,"AddFairyRewards":true,"AddOther":true,"AddNutChest":false,"CrazyStartingItems":true,"AddCowMilk":false,"AddMundaneRewards":false,"RandomizeBottleCatchContents":false,"ExcludeSongOfSoaring":true,"RandomizeDungeonEntrances":false,"RandomizeEnemies":false,"NoStartingItems":true,"CustomItemListString":"------------","CustomStartingItemListString":"--","CustomJunkLocationsString":"------------","DamageMode":"Default","DamageEffect":"Default","MovementMode":"Default","FloorType":"Default","ClockSpeed":"VerySlow","HideClock":false,"BlastMaskCooldown":"Instant","EnableSunsSong":true,"AllowFierceDeityAnywhere":true,"ByoAmmo":false,"DeathMoonCrash":false,"ShortenCutscenes":true,"QuickTextEnabled":true,"Character":"LinkMM","GossipHintStyle":"Relevant","FreeHints":true,"ClearHints":true,"PreventDowngrades":true,"UpdateChests":true,"FixEponaSword":true,"SpeedupBeavers":true,"SpeedupDampe":true,"SpeedupDogRace":true,"SpeedupBank":true}
Seed:             1305897859

 Location                                              Item

 Misc
Boss Blue Warp                                     -> Song of Storms*
Starting Heart Container #1                        -> Red Rupee
Starting Heart Container #2                        -> Red Rupee
Starting Item                                      -> Red Rupee
Starting Shield                                    -> Gold Rupee
Starting Song                                      -> Red Rupee
Starting Sword                                     -> Purple Rupee

 Bottle Catch
Bottle: Big Poe                                    -> Bottle: Big Poe
Bottle: Bug                                        -> Bottle: Bug**
Bottle: Deku Princess                              -> Bottle: Deku Princess
Bottle: Fairy                                      -> Bottle: Fairy
Bottle: Fish                                       -> Bottle: Fish
Bottle: Hot Spring Water                           -> Bottle: Hot Spring Water
Bottle: Mushroom                                   -> Bottle: Mushroom
Bottle: Poe                                        -> Bottle: Poe
Bottle: Spring Water                               -> Bottle: Spring Water
Bottle: Zora Egg                                   -> Bottle: Zora Egg

 Beneath Clocktown
Pre-Clocktown Chest                                -> 10 Deku Nuts

 South Clock Town
Clock Tower Entrance                               -> Swamp Skulltula Spirit
Clock Town Scrub Trade                             -> Silver Rupee
Postbox                                            -> Piece of Heart
South Clock Town Final Day Chest                   -> Goron Lullaby**
South Clock Town Straw Roof Chest                  -> Great Bay Stray Fairy

 North Clock Town
Bombers' Hide and Seek                             -> Bombers' Notebook
Clock Town Map Purchase                            -> Swamp Skulltula Spirit
Deku Playground Any Day                            -> Purple Rupee
Deku Playground Three Days                         -> Swamp Skulltula Spirit
Keaton Quiz                                        -> Ocean Skulltula Spirit
North Clock Town Tree                              -> Map of Clock Town
Old Lady                                           -> Ocean Skulltula Spirit
Town Great Fairy                                   -> Mask of Scents
Town Great Fairy Non-Human                         -> Double Defense

 East Clock Town
Bombers' Hideout Chest                             -> Red Rupee
East Clock Town Chest                              -> Piece of Heart
Gorman                                             -> Snowhead Stray Fairy
Honey and Darling Any Day                          -> Purple Rupee
Honey and Darling Three Days                       -> Swamp Skulltula Spirit
Madame Aroma in Bar                                -> 10 Bombchu
Madame Aroma in Office                             -> Snowhead Stray Fairy
Mayor                                              -> Swamp Skulltula Spirit
Milk Bar Chateau                                   -> Chateau Romani
Milk Bar Milk                                      -> Milk
Postman's Freedom Reward                           -> Red Rupee
Town Archery #1                                    -> Lens of Truth*
Town Archery #2                                    -> Red Rupee
Treasure Chest Game Deku                           -> 10 Deku Nuts
Treasure Chest Game Goron                          -> Gilded Sword*
Treasure Chest Game Human                          -> Purple Rupee
Treasure Chest Game Zora                           -> Red Rupee

 Stock Pot Inn
Anju and Kafei                                     -> Piece of Heart
Grandma Long Story                                 -> Red Rupee
Grandma Short Story                                -> Bombchu
Inn Guest Room Chest                               -> Swamp Skulltula Spirit
Inn Reservation                                    -> Hookshot**
Inn Staff Room Chest                               -> Red Rupee
Midnight Meeting                                   -> Piece of Heart
Toilet Hand                                        -> Zora Mask**

 West Clock Town
All Night Mask Purchase                            -> All Night Mask
Bank Reward #1                                     -> Ocean Skulltula Spirit
Bank Reward #2                                     -> Blue Rupee
Bank Reward #3                                     -> Woodfall Stray Fairy
Big Bomb Bag Purchase                              -> Big Bomb Bag*
Bomb Bag Purchase                                  -> Bomb Bag*
Bomb Shop 10 Bombchu                               -> 10 Bombchu
Bomb Shop 10 Bombs                                 -> 10 Bombs
Curiosity Shop Blue Rupee                          -> Blue Rupee
Curiosity Shop Gold Rupee                          -> Gold Rupee
Curiosity Shop Purple Rupee                        -> Purple Rupee
Curiosity Shop Red Rupee                           -> Red Rupee
Lottery                                            -> Purple Rupee
